(0) Index,(1) INDICATOR (n),"(2) INDICATOR QUALITY (3) (g, y, r)",(3) DATASETS AVAILABLE (Hyperlink),"(4) PBSB CATEGORY (5) ((1, 2, 3, 4, 5))",(5) WB CATEGORY (Theme),"(6) INDICATOR TYPE (2) (SbPb, Ops)",(7) INDICATOR COUNTRY (or region)(n=129 (incl 7 regions) (193),(8) INDICATOR SOURCE,(9) COMMENTS (n),(10) Notes,,,,,,,
1815,Irrigation efficiency at top of irrigation system (%),, Improved management of irrigation schemes,4,"Agriculture, fishing, and forestry",,n/a,WB, Results Chain: Irrigation,,,,,,,,
1816,Irrigation efficiency at bottom ends of irrigation system (%),, Improved management of irrigation schemes,4,"Agriculture, fishing, and forestry",,n/a,WB, Results Chain: Irrigation,,,,,,,,
1817,Performance contract annual targets met (%),, Improved management of irrigation schemes,4,"Agriculture, fishing, and forestry",,n/a,WB, Results Chain: Irrigation,,,,,,,,
1818,Integrated water resource plan developed (yes/no),, Develop capacity of public agencies to plan and manage sector,5,"Agriculture, fishing, and forestry",,n/a,WB, Sector Institutional Capacity, Results Chain: Irrigation,,,,,,,
1819,Irrigation strategy prepared (yes/no),, Develop capacity of public agencies to plan and manage sector,5,"Agriculture, fishing, and forestry",,n/a,WB, Sector Institutional Capacity, Results Chain: Irrigation,,,,,,,
1820,Irrigation policies prepared (yes/no),, Develop capacity of public agencies to plan and manage sector,5,"Agriculture, fishing, and forestry",,n/a,WB, Sector Institutional Capacity, Results Chain: Irrigation,,,,,,,
1821,Management information system for irrigation sector monitoring in place and operational (yes/no),, Develop capacity of public agencies to plan and manage sector,5,"Agriculture, fishing, and forestry",,n/a,WB, Sector Institutional Capacity, Results Chain: Irrigation,,,,,,,
1822,"Staff trained in [specific] topics ( g., participatory approaches to irrigation and management of PPP contracts) (number)",, Develop capacity of public agencies to plan and manage sector,5,"Agriculture, fishing, and forestry",,n/a,WB, Sector Institutional Capacity, Results Chain: Irrigation,,,,,,,
1823,Annual Sector plan targets achieved (%),, Improved policies and planning,5,"Agriculture, fishing, and forestry",,n/a,WB, Results Chain: Irrigation,,,,,,,,
1824,Sector investments achieved according to plan (%),, Improved policies and planning,5,"Agriculture, fishing, and forestry",,n/a,WB, Results Chain: Irrigation,,,,,,,,
1825,Existing irrigation legislation reviewed (yes/no),, Strengthen Legal Regulatory Framework,5,"Agriculture, fishing, and forestry",,n/a,WB,Legal Regulatory Framework, Results Chain: Irrigation,,,,,,,
1826,Institutional framework for large-medium-scale irrigation development / management prepared (yes/no),, Strengthen Legal Regulatory Framework,5,"Agriculture, fishing, and forestry",,n/a,WB,Legal Regulatory Framework, Results Chain: Irrigation,,,,,,,
1827,Regulations for transferring management of public irrigation schemes (for PPPs) drafted (yes/no),, Strengthen Legal Regulatory Framework,5,"Agriculture, fishing, and forestry",,n/a,WB,Legal Regulatory Framework, Results Chain: Irrigation,,,,,,,
1828,"Producers using irrigation schemes (number, %)",,,4,"Agriculture, fishing, and forestry",,n/a,WB; Increased producer adoption of irrigated agriculture; Results Chain: Irrigation,,,,,,,,,
1829,"Producers irrigating more than 50% of their land (number, %)",,,4,"Agriculture, fishing, and forestry",,n/a,WB; Increased producer adoption of irrigated agriculture; Results Chain: Irrigation,,,,,,,,,
1830,"Roads rehabilitated, non rural  (km)  CORE",,  Construct/ rehabiltate/ maintain  roads,4,Transportation,,n/a,WB,Physical Infrastructure, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,
1831,"Roads constructed , non rural (km) CORE",,  Construct/ rehabiltate/ maintain  roads,4,Transportation,,n/a,WB,Physical Infrastructure, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,
1832,Railway tracks constructed (km),,  Construct/ rehabiltate/ maintain railway tracks ,4,Transportation,,n/a,WB,Physical Infrastructure, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,
1833,Raliway tracks rehabilitated (km),,  Construct/ rehabiltate/ maintain railway tracks ,4,Transportation,,n/a,WB,Physical Infrastructure, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,
1834,Railway tracks maintained (km),,  Construct/ rehabiltate/ maintain railway tracks ,4,Transportation,,n/a,WB,Physical Infrastructure, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,
1835,Quays rehabilitated / constructed (number),,  Construct/ rehabiltate/ maintain port infrastructure ,4,Transportation,,n/a,WB,Physical Infrastructure, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,
1836,Container terminals rehabilitated/ constructed (number),,  Construct/ rehabiltate/ maintain port infrastructure ,4,Transportation,,n/a,WB,Physical Infrastructure, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,
1837,Roads in good and fair conditions (%) CORE *Supplemental value: Size of classified network (lm),, Improved transport and transit network,4,Transportation,,n/a,WB,Physical Infrastructure, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,
1838,"Railway tracks in good conditions (km, %) ",, Improved transport and transit network,4,Transportation,,n/a,WB,Physical Infrastructure, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,
1839,All basic port infrastructure in place and functioning (yes / no),, Improved transport and transit network,4,Transportation,,n/a,WB,Physical Infrastructure, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,
1840, Operating agency business plans and investment strategies developed (yes / no),, Develop operator / service provider  management capacity,4,Transportation,,n/a,WB, Institutional Development of Service Providers, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,
1841,Maintenance Program developed (yes / no),, Develop operator / service provider  management capacity,4,Transportation,,n/a,WB, Institutional Development of Service Providers, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,
1842,Regional Cargo Tracking System and Load Control System in place (yes/ no),, Develop operator / service provider  management capacity,4,Transportation,,n/a,WB, Institutional Development of Service Providers, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,
1843,Accounting and FM system in place (yes/no),, Develop operator / service provider  management capacity,4,Transportation,,n/a,WB, Institutional Development of Service Providers, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,
1844,Management information system established (yes/no),, Develop operator / service provider  management capacity,4,Transportation,,n/a,WB, Institutional Development of Service Providers, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,
1845,Staff trained in [specific topics] (number),, Develop operator / service provider  management capacity,4,Transportation,,n/a,WB, Institutional Development of Service Providers, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,
1846,Plan for private sector engagement in maintenance/rehabilitation/ developed (yes/no),, Develop operator / service provider  management capacity,4,Transportation,,n/a,WB, Institutional Development of Service Providers, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,
1847,Concession process completed according to legal procedures (yes/no),, Develop operator / service provider  management capacity,4,Transportation,,n/a,WB, Institutional Development of Service Providers, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,
1848,Maintenance budget / total  maintenance needs (%) ,,,4,Transportation,,n/a,"WB; Improved operational and financial management of roads, ports and railways; Institutional Development of Service ProvidersTransit and Transport Facilitation Results Chain; Transit and Transport Facilitation",,,,,,,,,
1849,Performance contract targets met by operator (yes/no),,,4,Transportation,,n/a,"WB; Improved operational and financial management of roads, ports and railways; Institutional Development of Service ProvidersTransit and Transport Facilitation Results Chain; Transit and Transport Facilitation",,,,,,,,,
1850,Annual traffic units carried per employee (number),,,4,Transportation,,n/a,"WB; Improved operational and financial management of roads, ports and railways; Institutional Development of Service ProvidersTransit and Transport Facilitation Results Chain; Transit and Transport Facilitation",,,,,,,,,
1851,Operating cost recovery (%),,,4,Transportation,,n/a,"WB; Improved operational and financial management of roads, ports and railways; Institutional Development of Service ProvidersTransit and Transport Facilitation Results Chain; Transit and Transport Facilitation",,,,,,,,,
1852,"Annual financial statements produced, audited and disseminated (yes/no)",,,4,Transportation,,n/a,"WB; Improved operational and financial management of roads, ports and railways; Institutional Development of Service ProvidersTransit and Transport Facilitation Results Chain; Transit and Transport Facilitation",,,,,,,,,
1853,IT customs systems developed and interconnected (yes/no,,,5,Transportation,,n/a,WB; Strengthen Custom management; Customs Management; Transit and Transport Facilitation Results Chain; Transit and Transport Facilitation,,,,,,,,,
1854,Transit procedures simplified (number),,,5,Transportation,,n/a,WB; Strengthen Custom management; Customs Management; Transit and Transport Facilitation Results Chain; Transit and Transport Facilitation,,,,,,,,,
1855,Joint border-posts built (number),,,5,Transportation,,n/a,WB; Strengthen Custom management; Customs Management; Transit and Transport Facilitation Results Chain; Transit and Transport Facilitation,,,,,,,,,
1856,Customs staff  trained in {specific topic} (number),,,5,Transportation,,n/a,WB; Strengthen Custom management; Customs Management; Transit and Transport Facilitation Results Chain; Transit and Transport Facilitation,,,,,,,,,
1857,Steps involved to complete the custom procedures (number),,,5,Transportation,,n/a,WB; Efficient customs management; Customs Management; Transit and Transport Facilitation Results Chain; Transit and Transport Facilitation,,,,,,,,,
1858,"Custom procedures procesed and recorded through IT system (number, %)",,,5,Transportation,,n/a,WB; Efficient customs management; Customs Management; Transit and Transport Facilitation Results Chain; Transit and Transport Facilitation,,,,,,,,,
1859,Fixed customs checkpoints for secured goods in transit along targeted corridor (number),,,5,Transportation,,n/a,WB; Efficient customs management; Customs Management; Transit and Transport Facilitation Results Chain; Transit and Transport Facilitation,,,,,,,,,
1860,Harmonized cross-border transort regulation and general legal framework are developed (yes/no),, Strengthen planning and regulation framework,5,Transportation,,n/a,WB, Institutional Development of Ministry/Regulator/Framework, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,
1861,Corridor Agencies/ Authorities established/ operational (yes/no),, Strengthen planning and regulation framework,5,Transportation,,n/a,WB, Institutional Development of Ministry/Regulator/Framework, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,
1862,Transit and Transport Masterplan/ Integration Plan developed (yes/no),, Strengthen planning and regulation framework,5,Transportation,,n/a,WB, Institutional Development of Ministry/Regulator/Framework, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,
1863,Harmonized cross-border transport regulation and general legal framework approved (yes/ no) ,,  Improved planning and management of Transport Corridor,5,Transportation,,n/a,WB, Institutional Development of Ministry/Regulator/Framework, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,
1864,Transit and Transport Masterplan/ Integration Plan approved (yes/no),,  Improved planning and management of Transport Corridor,5,Transportation,,n/a,WB, Institutional Development of Ministry/Regulator/Framework, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,
1865,Transport monitoring data regularly collected (yes/no),,  Improved planning and management of Transport Corridor,5,Transportation,,n/a,WB, Institutional Development of Ministry/Regulator/Framework, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,
1866,All season connection between point A and B along the corridor (Yes/ No)   ,,  Improved connectivity on main/ strategic transit corridors,4,Transportation,,n/a,WB, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,,
1867,Weighted average of total time from moment of ship readiness to unload to final destination for an imported container (standard 20-foot TEU) (days) CORE,,  Improved connectivity on main/ strategic transit corridors,4,Transportation,,n/a,WB, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,,
1868,Average transport time along targeted corridor [between two specific points] (minutes),,  Improved connectivity on main/ strategic transit corridors,4,Transportation,,n/a,WB, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,,
1869,Transport time variance [between two specific points in the corridor] (minutes),,  Improved connectivity on main/ strategic transit corridors,4,Transportation,,n/a,WB, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,,
1870,Port dwell time (standard 20-foot TEU) (days),,  Improved connectivity on main/ strategic transit corridors,4,Transportation,,n/a,WB, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,,
1871,Customs clearance time (hours),,  Improved connectivity on main/ strategic transit corridors,4,Transportation,,n/a,WB, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,,
1872,Average border-crossing time (hours),,  Improved connectivity on main/ strategic transit corridors,4,Transportation,,n/a,WB, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,,
1873,Time variance at border-crossings (hours),,  Improved connectivity on main/ strategic transit corridors,4,Transportation,,n/a,WB, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,,
1874,Weighted average of total transport cost between unloading from the ship to final city of destination for an imported container (standard 20-foot TEU) (US$),,  Improved connectivity on main/ strategic transit corridors,4,Transportation,,n/a,WB, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,,
1875,Cargo volume transported on the corridor (TEU/year),,  Improved connectivity on main/ strategic transit corridors,4,Transportation,,n/a,WB, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,,
1876,Volume of traffic on the corridor (vehicles/ day) (breakdown  by different types of vehiclse),,  Improved connectivity on main/ strategic transit corridors,4,Transportation,,n/a,WB, Transit and Transport Facilitation Results Chain, Transit and Transport Facilitation,,,,,,,
1877,Urban transport policy prepared (yes/ no),,,4,Transportation,,n/a,"WB; Develop sector policy making, regulatory and planning capacity; Urban Transport Management; Results Chain: Urban Transport and Mobility",,,,,,,,,
1878,Transport Master Plan prepared (yes/ no),,,4,Transportation,,n/a,"WB; Develop sector policy making, regulatory and planning capacity; Urban Transport Management; Results Chain: Urban Transport and Mobility",,,,,,,,,
1879,Budget/financing plan prepared (yes/ no),,,4,Transportation,,n/a,"WB; Develop sector policy making, regulatory and planning capacity; Urban Transport Management; Results Chain: Urban Transport and Mobility",,,,,,,,,
1880,Public transport authority established and operational (yes/ no),,,4,Transportation,,n/a,"WB; Develop sector policy making, regulatory and planning capacity; Urban Transport Management; Results Chain: Urban Transport and Mobility",,,,,,,,,
1881,Urban Transport Management unit established and operational (yes/ no),,,4,Transportation,,n/a,"WB; Develop sector policy making, regulatory and planning capacity; Urban Transport Management; Results Chain: Urban Transport and Mobility",,,,,,,,,
1882,Management information system for urban transport in place (yes/ no),,,4,Transportation,,n/a,"WB; Develop sector policy making, regulatory and planning capacity; Urban Transport Management; Results Chain: Urban Transport and Mobility",,,,,,,,,
1883,Management information system for environmental monitoring in place (yes/ no),,,4,Transportation,,n/a,"WB; Develop sector policy making, regulatory and planning capacity; Urban Transport Management; Results Chain: Urban Transport and Mobility",,,,,,,,,
1884,Urban transport policy adopted (yes/ no),,,4,Transportation,,n/a,WB; Improved planning and management of urban transport systems; Urban Transport Management; Results Chain: Urban Transport and Mobility,,,,,,,,,
1885,Transport Master Plan adopted (yes/ no),,,4,Transportation,,n/a,WB; Improved planning and management of urban transport systems; Urban Transport Management; Results Chain: Urban Transport and Mobility,,,,,,,,,
1886,Transport Master Plan is embedded in Urban Development Plan (yes/ no),,,4,Transportation,,n/a,WB; Improved planning and management of urban transport systems; Urban Transport Management; Results Chain: Urban Transport and Mobility,,,,,,,,,
1887,Transport Master Plan includes environmental aspects/ elements (yes/ no),,,4,Transportation,,n/a,WB; Improved planning and management of urban transport systems; Urban Transport Management; Results Chain: Urban Transport and Mobility,,,,,,,,,
1888,Annual Sector Plan targets achieved (yes/ no),,,4,Transportation,,n/a,WB; Improved planning and management of urban transport systems; Urban Transport Management; Results Chain: Urban Transport and Mobility,,,,,,,,,
1889,Operating agency business plans and investment strategies developed (number),,,4,Transportation,,n/a,WB; Develop management capacity of public transport service providers; Public Transport Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1890,Concession process completed according to legal procedures (yes/ no),,,4,Transportation,,n/a,WB; Develop management capacity of public transport service providers; Public Transport Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1891,Accounting and FM system in place (yes/ no),,,4,Transportation,,n/a,WB; Develop management capacity of public transport service providers; Public Transport Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1892,Management information system established (yes/ no),,,4,Transportation,,n/a,WB; Develop management capacity of public transport service providers; Public Transport Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1893,Staff trained in [specific topics] (number),,,4,Transportation,,n/a,WB; Develop management capacity of public transport service providers; Public Transport Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1894,Bus Rapid Transit (BRT) corridor developed (kms),,,4,Transportation,,n/a,WB; Construct infrastructure/facilities for public mass transportation; Public Transport Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1895,Bus stops constructed (number),,,4,Transportation,,n/a,WB; Construct infrastructure/facilities for public mass transportation; Public Transport Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1896,Passenger facilities constructed/created at stops and terminals (number),,,4,Transportation,,n/a,WB; Construct infrastructure/facilities for public mass transportation; Public Transport Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1897,Buses procured (number),,,4,Transportation,,n/a,WB; Construct infrastructure/facilities for public mass transportation; Public Transport Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1898,Bus routes franchised (number),,,4,Transportation,,n/a,WB; Improved management of public transportation; Public Transport Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1899,Average age of buses (years),,,4,Transportation,,n/a,WB; Improved management of public transportation; Public Transport Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1900,Distance traveled by each bus (km/year),,,4,Transportation,,n/a,WB; Improved management of public transportation; Public Transport Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1901,Performance contract targets met by operator (yes/ no),,,4,Transportation,,n/a,WB; Improved management of public transportation; Public Transport Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1902,Annual passengers carried per employee (number) ,,,4,Transportation,,n/a,WB; Improved management of public transportation; Public Transport Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1903,Operating cost recovery (%),,,4,Transportation,,n/a,WB; Improved management of public transportation; Public Transport Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1904,Share of costs covered by passenger fares (%),,,4,Transportation,,n/a,WB; Improved management of public transportation; Public Transport Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1905,"Annual financial statements produced, audited and disseminated (yes/ no)",,,4,Transportation,,n/a,WB; Improved management of public transportation; Public Transport Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1906,"Roads rehabilitated, non rural (kms) - CORE",,,4,Transportation,,n/a,WB; Construct/ rehabilitate traffic and transport system and infrastructure; Urban Transport and Traffic System Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1907,"Roads constructed, non rural (kms) - CORE",,,4,Transportation,,n/a,WB; Construct/ rehabilitate traffic and transport system and infrastructure; Urban Transport and Traffic System Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1908,Culverts constructed (number),,,4,Transportation,,n/a,WB; Construct/ rehabilitate traffic and transport system and infrastructure; Urban Transport and Traffic System Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1909,Sidewalks constructed (kms),,,4,Transportation,,n/a,WB; Construct/ rehabilitate traffic and transport system and infrastructure; Urban Transport and Traffic System Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1910,Bike paths constructed (kms),,,4,Transportation,,n/a,WB; Construct/ rehabilitate traffic and transport system and infrastructure; Urban Transport and Traffic System Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1911,Foot bridges constructed (number),,,4,Transportation,,n/a,WB; Construct/ rehabilitate traffic and transport system and infrastructure; Urban Transport and Traffic System Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1912,Upgraded junctions (number,,,4,Transportation,,n/a,WB; Construct/ rehabilitate traffic and transport system and infrastructure; Urban Transport and Traffic System Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1913,Traffic Lighting and Signal system constructed/rehabilitated (number),,,4,Transportation,,n/a,WB; Construct/ rehabilitate traffic and transport system and infrastructure; Urban Transport and Traffic System Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1914,Trained police (number),,,5,Transportation,,n/a,WB; Develop traffic management and control capacity; Urban Transport and Traffic System Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1915,Traffic management units created (number),,,5,Transportation,,n/a,WB; Develop traffic management and control capacity; Urban Transport and Traffic System Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1916,Traffic control center established (yes / no),,,5,Transportation,,n/a,WB; Develop traffic management and control capacity; Urban Transport and Traffic System Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1917,Equipment for speed trapping (number),,,5,Transportation,,n/a,WB; Develop traffic management and control capacity; Urban Transport and Traffic System Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1918,Breathalyzer and other equipment procured (number),,,5,Transportation,,n/a,WB; Develop traffic management and control capacity; Urban Transport and Traffic System Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1919,Communication strategy developed (yes/ no),,,5,Transportation,,n/a,WB; Raise awareness about road safety issues; Urban Transport and Traffic System Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1920,Road safety campaigns implemented (number),,,5,Transportation,,n/a,WB; Raise awareness about road safety issues; Urban Transport and Traffic System Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1921,People reached by awareness campaigns (number),,,5,Transportation,,n/a,WB; Raise awareness about road safety issues; Urban Transport and Traffic System Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1922,Trainers trained on road safety (number),,,5,Transportation,,n/a,WB; Raise awareness about road safety issues; Urban Transport and Traffic System Development; Results Chain: Urban Transport and Mobility,,,,,,,,,
1923,Roads in good and fair conditions (%)- CORE** Supplemental value: Size of classified network (km),,,4,Transportation,,n/a,WB; Improved urban traffic and transport system; Results Chain: Urban Transport and Mobility,,,,,,,,,
1924,"Roads with adequate drainage (km, %)",,,4,Transportation,,n/a,WB; Improved urban traffic and transport system; Results Chain: Urban Transport and Mobility,,,,,,,,,
1925,Urban road network with sidewalks (%),,,4,Transportation,,n/a,WB; Improved urban traffic and transport system; Results Chain: Urban Transport and Mobility,,,,,,,,,
1926,Urban road network with bike paths (%),,,4,Transportation,,n/a,WB; Improved urban traffic and transport system; Results Chain: Urban Transport and Mobility,,,,,,,,,
1927,Junctions with appropriate controls (%),,,4,Transportation,,n/a,WB; Improved urban traffic and transport system; Results Chain: Urban Transport and Mobility,,,,,,,,,
1928,"Major roads with coordinated signal times (%, number)",,,4,Transportation,,n/a,WB; Improved urban traffic and transport system; Results Chain: Urban Transport and Mobility,,,,,,,,,
1929,Target audience of awareness campaigns recalling messages correctly (%),,,4,Transportation,,n/a,WB;  Improved road safety behavior; Results Chain: Urban Transport and Mobility,,,,,,,,,
1930,Traffic exceeding posted speed limits (%),,,4,Transportation,,n/a,WB;  Improved road safety behavior; Results Chain: Urban Transport and Mobility,,,,,,,,,
1931,Motorcycle riders wearing helmets (%),,,4,Transportation,,n/a,WB;  Improved road safety behavior; Results Chain: Urban Transport and Mobility,,,,,,,,,
1932,Commercial vehicle operators licensed (%),,,4,Transportation,,n/a,WB;  Improved road safety behavior; Results Chain: Urban Transport and Mobility,,,,,,,,,
1933,"People living within 2 km of a public transport stop (number, %)",,,4,Transportation,,n/a,WB; Improved public transport services; Results Chain: Urban Transport and Mobility,,,,,,,,,
1934,Passengers on specific routes (number) (total or per day),,,4,Transportation,,n/a,WB; Improved public transport services; Results Chain: Urban Transport and Mobility,,,,,,,,,
1935,Average travel time per km/ specific route traveled (minutes),,,4,Transportation,,n/a,WB; Improved public transport services; Results Chain: Urban Transport and Mobility,,,,,,,,,
1936,Average travel speed on BRT corridor (km/hr) ,,,4,Transportation,,n/a,WB; Improved public transport services; Results Chain: Urban Transport and Mobility,,,,,,,,,
1937,User satisfaction with public transport services (%),,,4,Transportation,,n/a,WB; Improved public transport services; Results Chain: Urban Transport and Mobility,,,,,,,,,
1938,Reliability / frequency (TBD),,,4,Transportation,,n/a,WB; Improved public transport services; Results Chain: Urban Transport and Mobility,,,,,,,,,
1939,"Transport expenditures by households (%, LCU) ",,,4,Transportation,,n/a,WB; Improved public transport services; Results Chain: Urban Transport and Mobility,,,,,,,,,
1940,All season connection between urban point A and B established (yes/ no)  ,,,4,Transportation,,n/a,WB; Improved urban access; Results Chain: Urban Transport and Mobility,,,,,,,,,
1941,"Households with a paved road outside their house (number, %)",,,4,Transportation,,n/a,WB; Improved urban access; Results Chain: Urban Transport and Mobility,,,,,,,,,
1942,Average travel speed in targeted corridors (km/ h),,,4,Transportation,,n/a,WB; More efficient urban traffic flow; Results Chain: Urban Transport and Mobility,,,,,,,,,
1943,Average travel time in targeted corridors (minutes,,,4,Transportation,,n/a,WB; More efficient urban traffic flow; Results Chain: Urban Transport and Mobility,,,,,,,,,
1944,Delays at specific junctions or along specific routes (minutes),,,4,Transportation,,n/a,WB; More efficient urban traffic flow; Results Chain: Urban Transport and Mobility,,,,,,,,,
1945,Road accidents in targeted corridors involving pedestrians (number,,,4,Transportation,,n/a,WB; Improved urban road safety ; Results Chain: Urban Transport and Mobility,,,,,,,,,
1946,Road accidents per 1000 population (number) ,,,4,Transportation,,n/a,WB; Improved urban road safety ; Results Chain: Urban Transport and Mobility,,,,,,,,,
1947,Number and frequency of attacks against government forces and officials.,,,2,,,,"MPICE; QD; Safe and Secure Environment; Diminish the Drivers of Conflict; Political Violence Diminished; Do armed opposition groups (e.g., militias, guerrilla forces, insurgents, death squads, private security forces, gangs, or terrorists) engage in violence to advance political agendas or to oppose the peace process?",,,,,,,,,
1948,Number and frequency of attacks against international forcesand nongovernmental organizations,,,2,,,,"MPICE; QD; Safe and Secure Environment; Diminish the Drivers of Conflict; Political Violence Diminished; Do armed opposition groups (e.g., militias, guerrillaforces, insurgents, death squads, private security forces,gangs, or terrorists) engage in violence to advance political agendas or to oppose the peace process?",,,,,,,,,
1949,Number of casualties (civilian vs. military) resulting from attacks,,,2,,,,"MPICE; QD; Safe and Secure Environment; Diminish the Drivers of Conflict; Political Violence Diminished; Do armed opposition groups (e.g., militias, guerrilla forces, insurgents, death squads, private security forces, gangs, or terrorists) engage in violence to advance political agendas or to oppose the peace process?",,,,,,,,,
1950,Number of attacks against infrastructure.,,,2,,,,"MPICE; QD; Safe and Secure Environment; Diminish the Drivers of Conflict; Political Violence Diminished; Do armed opposition groups (e.g., militias, guerrilla forces, insurgents, death squads, private security forces, gangs, or terrorists) engage in violence to advance political agendas or to oppose the peace process?",,,,,,,,,
1951,Recruitment by armed groups.,,,2,,,,"MPICE; QD, EK; Safe and Secure Environment; Diminish the Drivers of Conflict; Political Violence Diminished; Do armed opposition groups (e.g., militias, guerrilla forces, insurgents, death squads, private security forces, gangs, or terrorists) engage in violence to advance political agendas or to oppose the peace process?",,,,,,,,,
1952,The abduction of children and women into armed factions.,,,2,,,,"MPICE; QD, EK; Safe and Secure Environment; Diminish the Drivers of Conflict; Political Violence Diminished; Do armed opposition groups (e.g., militias, guerrilla forces, insurgents, death squads, private security forces, gangs, or terrorists) engage in violence to advance political agendas or to oppose the peace process?",,,,,,,,,
1953,Percentage of national territory that is controlled by armed factions.,,,2,,,,"MPICE; QD; Safe and Secure Environment; Diminish the Drivers of Conflict; Political Violence Diminished; Do armed opposition groups (e.g., militias, guerrilla forces, insurgents, death squads, private security forces, gangs, or terrorists) engage in violence to advance political agendas or to oppose the peace process?",,,,,,,,,
1954,Percentage of population not under control of the government.,,,2,,,,"MPICE; QD; Safe and Secure Environment; Diminish the Drivers of Conflict; Political Violence Diminished; Do armed opposition groups (e.g., militias, guerrilla forces, insurgents, death squads, private security forces, gangs, or terrorists) engage in violence to advance political agendas or to oppose the peace process?",,,,,,,,,
1955,Number of usable arms caches discovered (attributed to identity group).,,,2,,,,MPICE; QD; Safe and Secure Environment; Diminish the Drivers of Conflict; Political Violence Diminished; Do armed opposition groups engage in illegal trafficking in weapons and military equipment and maintain hidden arms caches?,,,,,,,,,
